trial_id,title,intervention_name,condition,phase,status,source_database
NCT00444301,"Pain Assessment, Incidence & Nature in Heart Failure",Not specified,Heart Diseases,Not specified,COMPLETED,ClinicalTrials.gov
NCT04816201,Electroacupuncture to Assist Ventilator Weaning in Severe Stroke,Electroacupuncture,Severe Stroke; Electroacupuncture,NA,RECRUITING,ClinicalTrials.gov
NCT01208701,The Effects of Atorvastatin on the Nitrogen Oxide-system in Patients With Type 2 Diabetes and Nephropathy,Atorvastatin; Unikalk,Nephropathy; Cardiovascular Diseases; Diabetes Mellitus,PHASE2,COMPLETED,ClinicalTrials.gov
NCT05171712,Portico and Navitor India Clinical Trial,Transcatheter Aortic Valve Replacement,Aortic Valve Stenosis; Aortic Valve Failure; Aortic Insufficiency; Aortic Stenosis,NA,COMPLETED,ClinicalTrials.gov
NCT06508112,Pleth Variability Index in Pulmonary Embolism,Masimo Radical-7® Pulse CO-Oximeter,Pulmonary Embolism,Not specified,COMPLETED,ClinicalTrials.gov
NCT01954212,Stroke Oral healthCare pLan Evaluation,Enhanced complex oral health care,Cerebrovascular Disorders; Stroke; Pneumonia; Oral Hygiene,PHASE2,COMPLETED,ClinicalTrials.gov
NCT03775512,Evaluation of QDOT MICRO™ Catheter for Pulmonary Vein Isolation in Subjects With Paroxysmal Atrial Fibrillation,RF Ablation with QDOT Micro,Paroxysmal Atrial Fibrillation,NA,COMPLETED,ClinicalTrials.gov
NCT06534281,Pilot Study of BAO-G Technique in TAAA Endovascular Repair,BAO-G,"Aortic Aneurysm, Thoracoabdominal",EARLY_PHASE1,ENROLLING_BY_INVITATION,ClinicalTrials.gov
NCT00239681,JUPITER - Crestor 20mg Versus Placebo in Prevention of Cardiovascular (CV) Events,Rosuvastatin; Placebo,Elevated High-sensitivity C-Reactive Protein (hsCRP),PHASE3,TERMINATED,ClinicalTrials.gov
NCT04458155,Li-Hep vs. Non-Li-Hep Coated Transfer Device,Siemens® Point-of-care high sensitive troponin I analyzer,Acute Coronary Syndrome; Chest Pain; Myocardial Infarction; Cardiac Ischemia,Not specified,COMPLETED,ClinicalTrials.gov
NCT06917378,TRIO CTO (Taiwan Research Initiative on Coronary Total Occlusion),Percutaneous coronary intervention of coronary chronic total occlusion,Chronic Total Occlusion (CTO),Not specified,RECRUITING,ClinicalTrials.gov
NCT01083043,Continuous Glucose Monitoring in Type 2 Diabetes Mellitus,Not specified,Diabetic Vascular Complications,Not specified,COMPLETED,ClinicalTrials.gov
NCT00470743,Comparing Ibuprofen And Indomethacin For The Treatment Of The Patent Ductus Arteriosus in Very Premature Babies,Ibuprofen; Indomethacin,"Ductus Arteriosus, Patent; Very Low Birth Weight Infants",PHASE4,WITHDRAWN,ClinicalTrials.gov
NCT04266743,FeetMe® Monitor: Alternative for the Evaluation of Gait Speed After Stroke,FeetMe Monitor,"Stroke; Gait Disorders, Neurologic",NA,COMPLETED,ClinicalTrials.gov
NCT01943643,Multislice CT Angiography of Coronary Bifurcations and Outcomes After Intervention,multislice CT angiography,Coronary Artery Disease,NA,COMPLETED,ClinicalTrials.gov
NCT01607515,Non Invasive Measurement of Cardiac Index by Impedance Cardiography,Impedance cardiography,Pulmonary Hypertension,NA,COMPLETED,ClinicalTrials.gov
NCT00171015,VALORY Study of Valsartan/Hydrochlorizide for Patients Who do Not Respond Adequately to Olmesartan Medoxomil,valsartan plus hydrochlorothiazide,Hypertension,PHASE3,COMPLETED,ClinicalTrials.gov
